RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
  166 │ Eulaema meriana                               │ Animalia     │     50 │     50 │     0 ✓
  167 │ Eulaema polychroma                            │ Animalia     │     50 │     50 │     0 ✓
  168 │ Melipona nigrescens                           │ Animalia     │     50 │     50 │     0 ✓
  169 │ Tetragonisca angustula                        │ Animalia     │     50 │     50 │     0 ✓
  170 │ Trigona fulviventris                          │ Animalia     │     50 │     50 │     0 ✓
  171 │ Xylocopa fimbriata                            │ Animalia     │     50 │     50 │     0 ✓
  172 │ Psalidognathus modestus                       │ Animalia     │     50 │     50 │     0 ✓
  173 │ Diabrotica decempunctata                      │ Animalia     │     50 │     50 │     0 ✓
  174 │ Sibovia prodigiosa                            │ Animalia     │     50 │     50 │     0 ✓
  175 │ Harmonia axyridis                             │ Animalia     │     50 │     50 │     0 ✓
  176 │ Conchylodes bryophilalis                      │ Animalia     │     50 │     50 │     0 ✓
  177 │ Maruca vitrata                                │ Animalia     │     50 │     50 │     0 ✓
  178 │ Rhodobaenus augustinus                        │ Animalia     │     50 │     50 │     0 ✓
  179 │ Amastus aconia                                │ Animalia     │     50 │     50 │     0 ✓
  180 │ Amastus coccinator                            │ Animalia     │     50 │     50 │     0 ✓
  181 │ Amastus episcotosia                           │ Animalia     │     50 │     50 │     0 ✓
  182 │ Cyanopepla micans                             │ Animalia     │     50 │     50 │     0 ✓
  183 │ Elysius atrata                                │ Animalia     │     50 │     50 │     0 ✓
  184 │ Eudocima procus                               │ Animalia     │     50 │     50 │     0 ✓
  185 │ Mesothen nomia                                │ Animalia     │     50 │     50 │     0 ✓
  186 │ Thysania zenobia                              │ Animalia     │     50 │     50 │     0 ✓
  187 │ Paramastax poecilosoma                        │ Animalia     │     50 │     50 │     0 ✓
  188 │ Paramastax rosenbergi                         │ Animalia     │     50 │     50 │     0 ✓
  189 │ Polistes carnifex                             │ Animalia     │     50 │     50 │     0 ✓
  190 │ Atta cephalotes                               │ Animalia     │     50 │     50 │     0 ✓
  191 │ Odontomachus erythrocephalus                  │ Animalia     │     50 │     50 │     0 ✓
  192 │ Gonora hyelosioides                           │ Animalia     │     50 │     50 │     0 ✓
  193 │ Melanchroia chephise                          │ Animalia     │     50 │     50 │     0 ✓
  194 │ Pantherodes pardalaria                        │ Animalia     │     50 │     50 │     0 ✓
  195 │ Sericoptera mahometaria                       │ Animalia     │     50 │     50 │     0 ✓
  196 │ Sphacelodes vulneraria                        │ Animalia     │     50 │     50 │     0 ✓
  197 │ Halictus ligatus                              │ Animalia     │     50 │     50 │     0 ✓
  198 │ Achlyodes pallida                             │ Animalia     │     50 │     50 │     0 ✓
  199 │ Anthoptus epictetus                           │ Animalia     │     50 │     50 │     0 ✓
  200 │ Mimoniades nurscia                            │ Animalia     │     50 │     50 │     0 ✓
  201 │ Pythonides jovianus                           │ Animalia     │     50 │     50 │     0 ✓
  202 │ Phobetron hipparchia                          │ Animalia     │     50 │     50 │     0 ✓
  203 │ Melanis pixe                                  │ Animalia     │     50 │     50 │     0 ✓
  204 │ Necyria bellona                               │ Animalia     │     50 │     50 │     0 ✓
  205 │ Choeradodis rhombicollis                      │ Animalia     │     50 │     50 │     0 ✓
  206 │ Pseudovates brevicornis                       │ Animalia     │     50 │     50 │     0 ✓
  207 │ Stagmatoptera septentrionalis                 │ Animalia     │     50 │     50 │     0 ✓
  208 │ Langucys nigropuncta                          │ Animalia     │     50 │     50 │     0 ✓
  209 │ Macara alydda                                 │ Animalia     │     50 │     50 │     0 ✓
  210 │ Mythimna unipuncta                            │ Animalia     │     50 │     50 │     0 ✓
  211 │ Actinote neleus                               │ Animalia     │     50 │     50 │     0 ✓
  212 │ Actinote stratonice                           │ Animalia     │     50 │     50 │     0 ✓
  213 │ Anartia jatrophae                             │ Animalia     │     50 │     50 │     0 ✓
  214 │ Anthanassa drusilla                           │ Animalia     │     50 │     50 │     0 ✓
  215 │ Caligo atreus                                 │ Animalia     │     50 │     50 │     0 ✓
  216 │ Caligo oileus                                 │ Animalia     │     50 │     50 │     0 ✓
  217 │ Castilia eranites                             │ Animalia     │     50 │     50 │     0 ✓
  218 │ Chlosyne lacinia                              │ Animalia     │     50 │     50 │     0 ✓
  219 │ Colobura dirce                                │ Animalia     │     50 │     50 │     0 ✓
  220 │ Consul panariste                              │ Animalia     │     50 │     50 │     0 ✓
  221 │ Corades chelonis                              │ Animalia     │     50 │     50 │     0 ✓
  222 │ Cybdelis mnasylus                             │ Animalia     │     50 │     50 │     0 ✓
  223 │ Danaus plexippus                              │ Animalia     │     50 │     50 │     0 ✓
  224 │ Diaethria clymena                             │ Animalia     │     50 │     50 │     0 ✓
  225 │ Dione glycera                                 │ Animalia     │     50 │     50 │     0 ✓
