gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5153029860	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545006/original.jpg	https://www.inaturalist.org/photos/461545006					2024-11-18T15:38:11Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153024263	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/491901941/original.jpeg	https://www.inaturalist.org/photos/491901941					2025-04-09T23:42:45Z	auk1967		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	auk1967
5153022485	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/452594185/original.jpg	https://www.inaturalist.org/photos/452594185					2024-07-03T18:52:12Z	Allen Chartier		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Allen Chartier
5153022485	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/452593927/original.jpg	https://www.inaturalist.org/photos/452593927					2024-07-03T18:52:57Z	Allen Chartier		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Allen Chartier
5153022485	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/452594184/original.jpg	https://www.inaturalist.org/photos/452594184					2024-07-03T18:30:42Z	Allen Chartier		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Allen Chartier
5153021649	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545054/original.jpg	https://www.inaturalist.org/photos/461545054					2024-11-18T15:43:36Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153021649	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545059/original.jpg	https://www.inaturalist.org/photos/461545059					2024-11-18T15:43:32Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153020911	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/479717283/original.jpeg	https://www.inaturalist.org/photos/479717283					2025-03-11T18:16:10Z	Allan Harris		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Allan Harris
5153020815	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545484/original.jpg	https://www.inaturalist.org/photos/461545484					2024-11-18T17:32:34Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153020811	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460022913/original.jpg	https://www.inaturalist.org/photos/460022913					2024-11-20T17:20:29Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153019949	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/497519751/original.jpg	https://www.inaturalist.org/photos/497519751					2025-04-27T17:27:16Z	gusaf		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gusaf
5153018041	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/489813959/original.jpeg	https://www.inaturalist.org/photos/489813959					2025-04-07T21:07:21Z	auk1967		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	auk1967
5153013564	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/431816535/original.jpeg	https://www.inaturalist.org/photos/431816535					2024-08-03T14:45:31Z	Irene		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Irene
