species,precision,recall,f1_score,support
Lasiophila_prosymna,1.0,0.8571,0.9231,7
Lentinus_flexipes,0.8333,1.0,0.9091,5
Lepanthes_dunstervilleorum,1.0,0.8,0.8889,5
Lepanthes_gargantua,0.8333,1.0,0.9091,5
Lepanthes_jardinensis,1.0,0.8,0.8889,5
Lepanthes_mucronata,1.0,0.8,0.8889,5
Lepanthes_tachirensis,0.8333,1.0,0.9091,5
Lepidocolaptes_lacrymiger,0.7273,0.8889,0.8,9
Lepidocolaptes_souleyetii,1.0,0.6,0.75,5
Leptodeira_ornata,0.4444,0.8,0.5714,5
Leptophobia_aripa,0.625,1.0,0.7692,5
Leptopogon_rufipectus,1.0,1.0,1.0,5
Leptosittaca_branickii,0.6,0.5,0.5455,6
Leptotila_plumbeiceps,1.0,1.0,1.0,5
Leuconotopicus_fumigatus,0.625,1.0,0.7692,5
Leucopternis_princeps,0.6667,0.8,0.7273,5
Leuenbergeria_bleo,0.6667,0.8,0.7273,5
Linothele_sericata,1.0,0.8,0.8889,5
Lipaugus_fuscocinereus,1.0,1.0,1.0,5
Lissachatina_fulica,1.0,1.0,1.0,5
Lycomedes_hirtipes,1.0,0.8,0.8889,5
Lycorea_cleobaea,0.8333,1.0,0.9091,5
Macara_alydda,1.0,0.8,0.8889,5
Machaeropterus_deliciosus,0.75,0.6,0.6667,5
Machaeropterus_striolatus,0.75,0.6,0.6667,5
Machetornis_rixosa,0.5,0.3333,0.4,6
Magnolia_yarumalensis,0.8,0.8,0.8,5
Malacoptila_mystacalis,0.9,1.0,0.9474,9
Malaveria_rodriguezi,1.0,1.0,1.0,5
Manacus_manacus,1.0,0.8,0.8889,5
Manacus_vitellinus,0.7778,1.0,0.875,7
Manduca_rustica,1.0,1.0,1.0,5
Margarornis_squamiger,0.6,0.75,0.6667,8
Markia_hystrix,1.0,1.0,1.0,5
Marpesia_berania,1.0,1.0,1.0,5
Marpesia_corinna,1.0,1.0,1.0,5
Maruca_vitrata,1.0,1.0,1.0,5
Masdevallia_amanda,1.0,1.0,1.0,5
Masdevallia_heteroptera,1.0,1.0,1.0,5
Masdevallia_hortensis,1.0,1.0,1.0,5
Masdevallia_picturata,0.8,0.8,0.8,5
Maxillaria_acuminata,1.0,0.6,0.75,5
Maxillaria_embreei,0.7143,1.0,0.8333,5
Maxillaria_lepidota,0.8333,1.0,0.9091,5
Mechanitis_polymnia,1.0,1.0,1.0,5
Mecocerculus_leucophrys,1.0,0.8,0.8889,5
Mecocerculus_stictopterus,0.8333,1.0,0.9091,5
Megaceryle_torquata,1.0,0.8,0.8889,5
Megascops_choliba,1.0,0.6,0.75,5
Megaskepasma_erythrochlamys,1.0,0.6,0.75,5
Melanchroia_chephise,0.8,0.8,0.8,5
Melanerpes_formicivorus,0.8462,0.9167,0.88,12
Melanerpes_pulcher,0.8,0.8,0.8,5
Melanerpes_rubricapillus,0.9091,1.0,0.9524,10
Melanis_pixe,1.0,1.0,1.0,5
Melipona_nigrescens,1.0,1.0,1.0,5
Memphis_lyceus,1.0,1.0,1.0,5
Menemerus_bivittatus,1.0,1.0,1.0,6
Merganetta_armata,1.0,1.0,1.0,5
Mesothen_nomia,1.0,1.0,1.0,5
Metallura_tyrianthina,0.75,0.6667,0.7059,9
Metallura_williami,1.0,0.8,0.8889,5
Miconia_aeruginosa,1.0,1.0,1.0,5
Miconia_asperrima,0.7143,1.0,0.8333,5
Miconia_salicifolia,1.0,1.0,1.0,5
Miconia_trichocalyx,1.0,1.0,1.0,5
Micrathena_lucasi,1.0,1.0,1.0,5
Micrurus_mipartitus,1.0,0.6,0.75,5
Mimoniades_nurscia,0.7143,1.0,0.8333,5
Mimus_gilvus,1.0,0.6,0.75,5
Mionectes_oleagineus,0.6667,0.8,0.7273,5
Mniotilta_varia,1.0,1.0,1.0,5
Molothrus_bonariensis,0.7273,0.8,0.7619,10
Momordica_charantia,1.0,0.8,0.8889,5
Momotus_aequatorialis,0.8667,0.8667,0.8667,15
Monochaetum_multiflorum,0.8333,1.0,0.9091,5
Morella_pubescens,1.0,0.6,0.75,5
Morpho_sulkowskyi,1.0,1.0,1.0,5
Muntingia_calabura,0.6667,0.8,0.7273,5
Musa_velutina,1.0,0.8,0.8889,5
Mutisia_clematis,1.0,0.8,0.8889,5
Myadestes_ralloides,0.75,0.6,0.6667,5
Myiarchus_cephalotes,0.8,0.8,0.8,5
Myioborus_miniatus,0.6667,0.75,0.7059,8
Myioborus_ornatus,0.8667,0.8667,0.8667,15
Myiodynastes_hemichrysus,1.0,0.8,0.8889,5
Myiodynastes_maculatus,1.0,0.6,0.75,5
Myiotheretes_striaticollis,0.8333,1.0,0.9091,5
Myiothlypis_coronata,0.8,0.8,0.8,5
Myiothlypis_fulvicauda,1.0,1.0,1.0,5
Myiothlypis_nigrocristata,1.0,0.8,0.8889,5
Myiozetetes_cayanensis,1.0,0.1429,0.25,7
Mythimna_unipuncta,1.0,1.0,1.0,5
Nasua_olivacea,1.0,0.6,0.75,5
Necyria_bellona,1.0,1.0,1.0,5
Nertera_granadensis,0.8,0.8,0.8,5
Notiochelidon_cyanoleuca,0.75,0.75,0.75,8
Notiochelidon_murina,0.7778,1.0,0.875,7
Nyctibius_griseus,1.0,1.0,1.0,5
Nycticorax_nycticorax,1.0,0.4,0.5714,5
Nymphargus_grandisonae,1.0,0.8,0.8889,5
Ochthoeca_cinnamomeiventris,1.0,1.0,1.0,5
Ochthoeca_diadema,1.0,0.8333,0.9091,12
Ochthoeca_frontalis,1.0,1.0,1.0,5
Ochthoeca_fumicolor,1.0,1.0,1.0,5
Ochthoeca_rufipectoralis,1.0,0.8,0.8889,5
Ocreatus_underwoodii,1.0,0.6,0.75,5
Odontomachus_erythrocephalus,0.8333,1.0,0.9091,5
Ognorhynchus_icterotis,0.7143,1.0,0.8333,5
Oncidium_cultratum,1.0,1.0,1.0,5
Oncidium_lehmannii,1.0,1.0,1.0,5
Oncidium_luteopurpureum,0.8,0.8,0.8,5
Oncidium_ornithorhynchum,1.0,0.8571,0.9231,7
Opaon_varicolor,1.0,0.6,0.75,5
Opsiphanes_quiteria,1.0,0.8,0.8889,5
Oressinoma_typhla,1.0,1.0,1.0,5
Ortalis_columbiana,0.7143,0.8333,0.7692,6
Orthrosanthus_chimboracensis,0.75,0.6,0.6667,5
Oxypogon_stuebelii,0.7778,1.0,0.875,7
Oxyrhopus_petolarius,0.5714,0.8,0.6667,5
Oxysternon_conspicillatum,1.0,1.0,1.0,5
Pachyramphus_polychopterus,0.8,0.8,0.8,5
Pachystachys_lutea,1.0,1.0,1.0,5
Palicourea_angustifolia,1.0,0.6,0.75,5
Palicourea_colorata,1.0,1.0,1.0,5
Pandion_haliaetus,1.0,0.6,0.75,5
Pantherodes_pardalaria,0.8333,1.0,0.9091,5
Papilio_polyxenes,0.6667,0.4,0.5,5
Paramastax_poecilosoma,0.8,0.8,0.8,5
Paramastax_rosenbergi,0.7143,1.0,0.8333,5
Parataygetis_lineata,1.0,1.0,1.0,5
Pareuptychia_hesione,1.0,0.6,0.75,5
Pareuptychia_metaleuca,0.8333,1.0,0.9091,5
Parides_erithalion,0.8,0.8,0.8,5
Passiflora_adenopoda,0.7143,1.0,0.8333,5
Passiflora_alata,1.0,0.4,0.5714,5
Passiflora_alnifolia,1.0,0.6,0.75,5
Passiflora_antioquiensis,0.6,0.6,0.6,5
Passiflora_apoda,0.7143,1.0,0.8333,5
Passiflora_capsularis,0.5,0.4,0.4444,5
