================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Pantherodes_pardalaria                       0.8333     1.0000     0.9091          5
  Parataygetis_lineata                         1.0000     1.0000     1.0000          5
  Pareuptychia_metaleuca                       0.8333     1.0000     0.9091          5
  Passiflora_adenopoda                         1.0000     1.0000     1.0000          5
  Passiflora_cumbalensis                       0.8333     1.0000     0.9091          5
  Pedaliodes_phaedra                           0.8333     1.0000     0.9091          5
  Penelope_montagnii                           0.9286     0.9286     0.9286         14
  Peperomia_rotundifolia                       0.8333     1.0000     0.9091          5
  Perisama_humboldtii                          1.0000     1.0000     1.0000          5
  Perisama_oppelii                             0.8333     1.0000     0.9091          5
  Phaethornis_guy                              1.0000     1.0000     1.0000          5
  Phalacrocorax_brasilianus                    0.8333     1.0000     0.9091          5
  Pharomachrus_auriceps                        1.0000     1.0000     1.0000          5
  Pheucticus_ludovicianus                      1.0000     1.0000     1.0000          5
  Phytolacca_bogotensis                        1.0000     0.8333     0.9091          6
  Piper_lanceifolium                           1.0000     1.0000     1.0000          5
  Pipreola_arcuata                             1.0000     1.0000     1.0000         10
  Pipreola_jucunda                             1.0000     1.0000     1.0000          5
  Pipreola_riefferii                           1.0000     0.8667     0.9286         15
  Piranga_rubra                                0.9375     1.0000     0.9677         15
  Pleurothallis_cordata                        0.8333     1.0000     0.9091          5
  Pleurothallis_matudana                       1.0000     1.0000     1.0000          5
  Podotricha_judith                            0.8333     1.0000     0.9091          5
  Poecilotriccus_ruficeps                      1.0000     1.0000     1.0000         12
  Polistes_carnifex                            1.0000     1.0000     1.0000          5
  Porphyrobaphe_iris                           1.0000     1.0000     1.0000          5
  Potentilla_indica                            0.8333     1.0000     0.9091          5
  Psalidognathus_modestus                      1.0000     1.0000     1.0000          5
